,year,round,race,date,circuit,location
885,2013,8,British Grand Prix,2013-06-30,Silverstone Circuit,"Silverstone, UK"
886,2013,9,German Grand Prix,2013-07-07,Nürburgring,"Nürburg, Germany"
887,2013,10,Hungarian Grand Prix,2013-07-28,Hungaroring,"Budapest, Hungary"
888,2013,11,Belgian Grand Prix,2013-08-25,Circuit de Spa-Francorchamps,"Spa, Belgium"
889,2013,12,Italian Grand Prix,2013-09-08,Autodromo Nazionale di Monza,"Monza, Italy"
890,2013,13,Singapore Grand Prix,2013-09-22,Marina Bay Street Circuit,"Marina Bay, Singapore"
891,2013,14,Korean Grand Prix,2013-10-06,Korean International Circuit,"Yeongam County, Korea"
892,2013,15,Japanese Grand Prix,2013-10-13,Suzuka Circuit,"Suzuka, Japan"
893,2013,16,Indian Grand Prix,2013-10-27,Buddh International Circuit,"Uttar Pradesh, India"
894,2013,17,Abu Dhabi Grand Prix,2013-11-03,Yas Marina Circuit,"Abu Dhabi, UAE"
895,2013,18,United States Grand Prix,2013-11-17,Circuit of the Americas,"Austin, USA"
896,2013,19,Brazilian Grand Prix,2013-11-24,Autódromo José Carlos Pace,"São Paulo, Brazil"
897,2014,1,Australian Grand Prix,2014-03-16,Albert Park Grand Prix Circuit,"Melbourne, Australia"
898,2014,2,Malaysian Grand Prix,2014-03-30,Sepang International Circuit,"Kuala Lumpur, Malaysia"
899,2014,3,Bahrain Grand Prix,2014-04-06,Bahrain International Circuit,"Sakhir, Bahrain"
900,2014,4,Chinese Grand Prix,2014-04-20,Shanghai International Circuit,"Shanghai, China"
901,2014,5,Spanish Grand Prix,2014-05-11,Circuit de Barcelona-Catalunya,"Montmeló, Spain"
902,2014,6,Monaco Grand Prix,2014-05-25,Circuit de Monaco,"Monte-Carlo, Monaco"
903,2014,7,Canadian Grand Prix,2014-06-08,Circuit Gilles Villeneuve,"Montreal, Canada"
904,2014,8,Austrian Grand Prix,2014-06-22,Red Bull Ring,"Spielberg, Austria"
905,2014,9,British Grand Prix,2014-07-06,Silverstone Circuit,"Silverstone, UK"
906,2014,10,German Grand Prix,2014-07-20,Hockenheimring,"Hockenheim, Germany"
907,2014,11,Hungarian Grand Prix,2014-07-27,Hungaroring,"Budapest, Hungary"
908,2014,12,Belgian Grand Prix,2014-08-24,Circuit de Spa-Francorchamps,"Spa, Belgium"
909,2014,13,Italian Grand Prix,2014-09-07,Autodromo Nazionale di Monza,"Monza, Italy"
910,2014,14,Singapore Grand Prix,2014-09-21,Marina Bay Street Circuit,"Marina Bay, Singapore"
911,2014,15,Japanese Grand Prix,2014-10-05,Suzuka Circuit,"Suzuka, Japan"
912,2014,16,Russian Grand Prix,2014-10-12,Sochi Autodrom,"Sochi, Russia"
913,2014,17,United States Grand Prix,2014-11-02,Circuit of the Americas,"Austin, USA"
914,2014,18,Brazilian Grand Prix,2014-11-09,Autódromo José Carlos Pace,"São Paulo, Brazil"
915,2014,19,Abu Dhabi Grand Prix,2014-11-23,Yas Marina Circuit,"Abu Dhabi, UAE"
916,2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,"Monte-Carlo, Monaco"
917,2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,"Montreal, Canada"
918,2015,4,Bahrain Grand Prix,2015-04-19,Bahrain International Circuit,"Sakhir, Bahrain"
919,2015,5,Spanish Grand Prix,2015-05-10,Circuit de Barcelona-Catalunya,"Montmeló, Spain"
920,2015,3,Chinese Grand Prix,2015-04-12,Shanghai International Circuit,"Shanghai, China"
921,2015,1,Australian Grand Prix,2015-03-15,Albert Park Grand Prix Circuit,"Melbourne, Australia"
922,2015,2,Malaysian Grand Prix,2015-03-29,Sepang International Circuit,"Kuala Lumpur, Malaysia"
923,2015,8,Austrian Grand Prix,2015-06-21,Red Bull Ring,"Spielberg, Austria"
924,2015,9,British Grand Prix,2015-07-05,Silverstone Circuit,"Silverstone, UK"
925,2015,10,Hungarian Grand Prix,2015-07-26,Hungaroring,"Budapest, Hungary"
926,2015,11,Belgian Grand Prix,2015-08-23,Circuit de Spa-Francorchamps,"Spa, Belgium"
927,2015,12,Italian Grand Prix,2015-09-06,Autodromo Nazionale di Monza,"Monza, Italy"
928,2015,13,Singapore Grand Prix,2015-09-20,Marina Bay Street Circuit,"Marina Bay, Singapore"
929,2015,14,Japanese Grand Prix,2015-09-27,Suzuka Circuit,"Suzuka, Japan"
930,2015,15,Russian Grand Prix,2015-10-11,Sochi Autodrom,"Sochi, Russia"
931,2015,16,United States Grand Prix,2015-10-25,Circuit of the Americas,"Austin, USA"
932,2015,17,Mexican Grand Prix,2015-11-01,Autódromo Hermanos Rodríguez,"Mexico City, Mexico"
933,2015,18,Brazilian Grand Prix,2015-11-15,Autódromo José Carlos Pace,"São Paulo, Brazil"
934,2015,19,Abu Dhabi Grand Prix,2015-11-29,Yas Marina Circuit,"Abu Dhabi, UAE"
935,2016,1,Australian Grand Prix,2016-03-20,Albert Park Grand Prix Circuit,"Melbourne, Australia"
936,2016,2,Bahrain Grand Prix,2016-04-03,Bahrain International Circuit,"Sakhir, Bahrain"
937,2016,3,Chinese Grand Prix,2016-04-17,Shanghai International Circuit,"Shanghai, China"
938,2016,4,Russian Grand Prix,2016-05-01,Sochi Autodrom,"Sochi, Russia"
939,2016,5,Spanish Grand Prix,2016-05-15,Circuit de Barcelona-Catalunya,"Montmeló, Spain"
940,2016,6,Monaco Grand Prix,2016-05-29,Circuit de Monaco,"Monte-Carlo, Monaco"
941,2016,7,Canadian Grand Prix,2016-06-12,Circuit Gilles Villeneuve,"Montreal, Canada"
942,2016,8,European Grand Prix,2016-06-19,Baku City Circuit,"Baku, Azerbaijan"
943,2016,9,Austrian Grand Prix,2016-07-03,Red Bull Ring,"Spielberg, Austria"
944,2016,10,British Grand Prix,2016-07-10,Silverstone Circuit,"Silverstone, UK"
945,2016,11,Hungarian Grand Prix,2016-07-24,Hungaroring,"Budapest, Hungary"
946,2016,12,German Grand Prix,2016-07-31,Hockenheimring,"Hockenheim, Germany"
947,2016,13,Belgian Grand Prix,2016-08-28,Circuit de Spa-Francorchamps,"Spa, Belgium"
948,2016,14,Italian Grand Prix,2016-09-04,Autodromo Nazionale di Monza,"Monza, Italy"
949,2016,15,Singapore Grand Prix,2016-09-18,Marina Bay Street Circuit,"Marina Bay, Singapore"
950,2016,16,Malaysian Grand Prix,2016-10-02,Sepang International Circuit,"Kuala Lumpur, Malaysia"
951,2016,17,Japanese Grand Prix,2016-10-09,Suzuka Circuit,"Suzuka, Japan"
952,2016,18,United States Grand Prix,2016-10-23,Circuit of the Americas,"Austin, USA"
953,2016,19,Mexican Grand Prix,2016-10-30,Autódromo Hermanos Rodríguez,"Mexico City, Mexico"
954,2016,20,Brazilian Grand Prix,2016-11-13,Autódromo José Carlos Pace,"São Paulo, Brazil"
955,2016,21,Abu Dhabi Grand Prix,2016-11-27,Yas Marina Circuit,"Abu Dhabi, UAE"
956,2017,1,Australian Grand Prix,2017-03-26,Albert Park Grand Prix Circuit,"Melbourne, Australia"
957,2017,2,Chinese Grand Prix,2017-04-09,Shanghai International Circuit,"Shanghai, China"
958,2017,3,Bahrain Grand Prix,2017-04-16,Bahrain International Circuit,"Sakhir, Bahrain"
959,2017,4,Russian Grand Prix,2017-04-30,Sochi Autodrom,"Sochi, Russia"
960,2017,5,Spanish Grand Prix,2017-05-14,Circuit de Barcelona-Catalunya,"Montmeló, Spain"
961,2017,6,Monaco Grand Prix,2017-05-28,Circuit de Monaco,"Monte-Carlo, Monaco"
962,2017,7,Canadian Grand Prix,2017-06-11,Circuit Gilles Villeneuve,"Montreal, Canada"
963,2017,8,Azerbaijan Grand Prix,2017-06-25,Baku City Circuit,"Baku, Azerbaijan"
964,2017,9,Austrian Grand Prix,2017-07-09,Red Bull Ring,"Spielberg, Austria"
965,2017,10,British Grand Prix,2017-07-16,Silverstone Circuit,"Silverstone, UK"
966,2017,11,Hungarian Grand Prix,2017-07-30,Hungaroring,"Budapest, Hungary"
967,2017,12,Belgian Grand Prix,2017-08-27,Circuit de Spa-Francorchamps,"Spa, Belgium"
968,2017,13,Italian Grand Prix,2017-09-03,Autodromo Nazionale di Monza,"Monza, Italy"
969,2017,14,Singapore Grand Prix,2017-09-17,Marina Bay Street Circuit,"Marina Bay, Singapore"
970,2017,15,Malaysian Grand Prix,2017-10-01,Sepang International Circuit,"Kuala Lumpur, Malaysia"
971,2017,16,Japanese Grand Prix,2017-10-08,Suzuka Circuit,"Suzuka, Japan"
972,2017,17,United States Grand Prix,2017-10-22,Circuit of the Americas,"Austin, USA"
973,2017,18,Mexican Grand Prix,2017-10-29,Autódromo Hermanos Rodríguez,"Mexico City, Mexico"
974,2017,19,Brazilian Grand Prix,2017-11-12,Autódromo José Carlos Pace,"São Paulo, Brazil"
975,2017,20,Abu Dhabi Grand Prix,2017-11-26,Yas Marina Circuit,"Abu Dhabi, UAE"
976,2018,1,Australian Grand Prix,2018-03-25,Albert Park Grand Prix Circuit,"Melbourne, Australia"
977,2018,2,Bahrain Grand Prix,2018-04-08,Bahrain International Circuit,"Sakhir, Bahrain"
978,2018,3,Chinese Grand Prix,2018-04-15,Shanghai International Circuit,"Shanghai, China"
979,2018,4,Azerbaijan Grand Prix,2018-04-29,Baku City Circuit,"Baku, Azerbaijan"
980,2018,5,Spanish Grand Prix,2018-05-13,Circuit de Barcelona-Catalunya,"Montmeló, Spain"
981,2018,6,Monaco Grand Prix,2018-05-27,Circuit de Monaco,"Monte-Carlo, Monaco"
982,2018,7,Canadian Grand Prix,2018-06-10,Circuit Gilles Villeneuve,"Montreal, Canada"
983,2018,8,French Grand Prix,2018-06-24,Circuit Paul Ricard,"Le Castellet, France"
984,2018,9,Austrian Grand Prix,2018-07-01,Red Bull Ring,"Spielberg, Austria"
985,2018,10,British Grand Prix,2018-07-08,Silverstone Circuit,"Silverstone, UK"
986,2018,11,German Grand Prix,2018-07-22,Hockenheimring,"Hockenheim, Germany"
987,2018,12,Hungarian Grand Prix,2018-07-29,Hungaroring,"Budapest, Hungary"
988,2018,13,Belgian Grand Prix,2018-08-26,Circuit de Spa-Francorchamps,"Spa, Belgium"
989,2018,14,Italian Grand Prix,2018-09-02,Autodromo Nazionale di Monza,"Monza, Italy"
990,2018,15,Singapore Grand Prix,2018-09-16,Marina Bay Street Circuit,"Marina Bay, Singapore"
991,2018,16,Russian Grand Prix,2018-09-30,Sochi Autodrom,"Sochi, Russia"
992,2018,17,Japanese Grand Prix,2018-10-07,Suzuka Circuit,"Suzuka, Japan"
993,2018,18,United States Grand Prix,2018-10-21,Circuit of the Americas,"Austin, USA"
994,2018,19,Mexican Grand Prix,2018-10-28,Autódromo Hermanos Rodríguez,"Mexico City, Mexico"
995,2018,20,Brazilian Grand Prix,2018-11-11,Autódromo José Carlos Pace,"São Paulo, Brazil"
996,2018,21,Abu Dhabi Grand Prix,2018-11-25,Yas Marina Circuit,"Abu Dhabi, UAE"
997,2019,1,Australian Grand Prix,2019-03-17,Albert Park Grand Prix Circuit,"Melbourne, Australia"
998,2019,2,Bahrain Grand Prix,2019-03-31,Bahrain International Circuit,"Sakhir, Bahrain"
999,2019,3,Chinese Grand Prix,2019-04-14,Shanghai International Circuit,"Shanghai, China"
1000,2019,4,Azerbaijan Grand Prix,2019-04-28,Baku City Circuit,"Baku, Azerbaijan"
1001,2019,5,Spanish Grand Prix,2019-05-12,Circuit de Barcelona-Catalunya,"Montmeló, Spain"
1002,2019,6,Monaco Grand Prix,2019-05-26,Circuit de Monaco,"Monte-Carlo, Monaco"
1003,2019,7,Canadian Grand Prix,2019-06-09,Circuit Gilles Villeneuve,"Montreal, Canada"
1004,2019,8,French Grand Prix,2019-06-23,Circuit Paul Ricard,"Le Castellet, France"
1005,2019,9,Austrian Grand Prix,2019-06-30,Red Bull Ring,"Spielberg, Austria"
1006,2019,10,British Grand Prix,2019-07-14,Silverstone Circuit,"Silverstone, UK"
1007,2019,11,German Grand Prix,2019-07-28,Hockenheimring,"Hockenheim, Germany"
1008,2019,12,Hungarian Grand Prix,2019-08-04,Hungaroring,"Budapest, Hungary"
1009,2019,13,Belgian Grand Prix,2019-09-01,Circuit de Spa-Francorchamps,"Spa, Belgium"
1010,2019,14,Italian Grand Prix,2019-09-08,Autodromo Nazionale di Monza,"Monza, Italy"
1011,2019,15,Singapore Grand Prix,2019-09-22,Marina Bay Street Circuit,"Marina Bay, Singapore"
1012,2019,16,Russian Grand Prix,2019-09-29,Sochi Autodrom,"Sochi, Russia"
1013,2019,17,Japanese Grand Prix,2019-10-13,Suzuka Circuit,"Suzuka, Japan"
1014,2019,18,Mexican Grand Prix,2019-10-27,Autódromo Hermanos Rodríguez,"Mexico City, Mexico"
1015,2019,19,United States Grand Prix,2019-11-03,Circuit of the Americas,"Austin, USA"
1016,2019,20,Brazilian Grand Prix,2019-11-17,Autódromo José Carlos Pace,"São Paulo, Brazil"
1017,2019,21,Abu Dhabi Grand Prix,2019-12-01,Yas Marina Circuit,"Abu Dhabi, UAE"
1018,2020,1,Austrian Grand Prix,2020-07-05,Red Bull Ring,"Spielberg, Austria"
1019,2020,2,Styrian Grand Prix,2020-07-12,Red Bull Ring,"Spielberg, Austria"
1020,2020,3,Hungarian Grand Prix,2020-07-19,Hungaroring,"Budapest, Hungary"
1021,2020,4,British Grand Prix,2020-08-02,Silverstone Circuit,"Silverstone, UK"
1022,2020,5,70th Anniversary Grand Prix,2020-08-09,Silverstone Circuit,"Silverstone, UK"
1023,2020,6,Spanish Grand Prix,2020-08-16,Circuit de Barcelona-Catalunya,"Montmeló, Spain"
1024,2020,7,Belgian Grand Prix,2020-08-30,Circuit de Spa-Francorchamps,"Spa, Belgium"
1025,2020,8,Italian Grand Prix,2020-09-06,Autodromo Nazionale di Monza,"Monza, Italy"
1026,2020,9,Tuscan Grand Prix,2020-09-13,Autodromo Internazionale del Mugello,"Mugello, Italy"
1027,2020,10,Russian Grand Prix,2020-09-27,Sochi Autodrom,"Sochi, Russia"
1028,2020,11,Eifel Grand Prix,2020-10-11,Nürburgring,"Nürburg, Germany"
1029,2020,12,Portuguese Grand Prix,2020-10-25,Autódromo Internacional do Algarve,"Portimão, Portugal"
1030,2020,13,Emilia Romagna Grand Prix,2020-11-01,Autodromo Enzo e Dino Ferrari,"Imola, Italy"
1031,2020,14,Turkish Grand Prix,2020-11-15,Istanbul Park,"Istanbul, Turkey"
1032,2020,15,Bahrain Grand Prix,2020-11-29,Bahrain International Circuit,"Sakhir, Bahrain"
1033,2020,16,Sakhir Grand Prix,2020-12-06,Bahrain International Circuit,"Sakhir, Bahrain"
1034,2020,17,Abu Dhabi Grand Prix,2020-12-13,Yas Marina Circuit,"Abu Dhabi, UAE"
1035,2021,2,Emilia Romagna Grand Prix,2021-04-18,Autodromo Enzo e Dino Ferrari,"Imola, Italy"
1036,2022,1,Bahrain Grand Prix,2022-03-20,Bahrain International Circuit,"Sakhir, Bahrain"
1037,2021,1,Bahrain Grand Prix,2021-03-28,Bahrain International Circuit,"Sakhir, Bahrain"
1038,2021,20,Qatar Grand Prix,2021-11-21,Losail International Circuit,"Al Daayen, Qatar"
1039,2021,3,Portuguese Grand Prix,2021-05-02,Autódromo Internacional do Algarve,"Portimão, Portugal"
1040,2021,4,Spanish Grand Prix,2021-05-09,Circuit de Barcelona-Catalunya,"Montmeló, Spain"
1041,2021,5,Monaco Grand Prix,2021-05-23,Circuit de Monaco,"Monte-Carlo, Monaco"
1042,2021,6,Azerbaijan Grand Prix,2021-06-06,Baku City Circuit,"Baku, Azerbaijan"
1043,2021,8,Styrian Grand Prix,2021-06-27,Red Bull Ring,"Spielberg, Austria"
1044,2021,7,French Grand Prix,2021-06-20,Circuit Paul Ricard,"Le Castellet, France"
1045,2021,9,Austrian Grand Prix,2021-07-04,Red Bull Ring,"Spielberg, Austria"
1046,2021,10,British Grand Prix,2021-07-18,Silverstone Circuit,"Silverstone, UK"
1047,2021,11,Hungarian Grand Prix,2021-08-01,Hungaroring,"Budapest, Hungary"
1048,2021,12,Belgian Grand Prix,2021-08-29,Circuit de Spa-Francorchamps,"Spa, Belgium"
1049,2021,13,Dutch Grand Prix,2021-09-05,Circuit Park Zandvoort,"Zandvoort, Netherlands"
1050,2021,14,Italian Grand Prix,2021-09-12,Autodromo Nazionale di Monza,"Monza, Italy"
1051,2021,15,Russian Grand Prix,2021-09-26,Sochi Autodrom,"Sochi, Russia"
1052,2021,16,Turkish Grand Prix,2021-10-10,Istanbul Park,"Istanbul, Turkey"
1053,2021,17,United States Grand Prix,2021-10-24,Circuit of the Americas,"Austin, USA"
1054,2021,18,Mexico City Grand Prix,2021-11-07,Autódromo Hermanos Rodríguez,"Mexico City, Mexico"
1055,2021,19,São Paulo Grand Prix,2021-11-14,Autódromo José Carlos Pace,"São Paulo, Brazil"
1056,2021,21,Saudi Arabian Grand Prix,2021-12-05,Jeddah Corniche Circuit,"Jeddah, Saudi Arabia"
1057,2021,22,Abu Dhabi Grand Prix,2021-12-12,Yas Marina Circuit,"Abu Dhabi, UAE"
1058,2022,2,Saudi Arabian Grand Prix,2022-03-27,Jeddah Corniche Circuit,"Jeddah, Saudi Arabia"
1059,2022,3,Australian Grand Prix,2022-04-10,Albert Park Grand Prix Circuit,"Melbourne, Australia"
1060,2022,4,Emilia Romagna Grand Prix,2022-04-24,Autodromo Enzo e Dino Ferrari,"Imola, Italy"
1061,2022,5,Miami Grand Prix,2022-05-08,Miami International Autodrome,"Miami, USA"
1062,2022,6,Spanish Grand Prix,2022-05-22,Circuit de Barcelona-Catalunya,"Montmeló, Spain"
1063,2022,7,Monaco Grand Prix,2022-05-29,Circuit de Monaco,"Monte-Carlo, Monaco"
1064,2022,8,Azerbaijan Grand Prix,2022-06-12,Baku City Circuit,"Baku, Azerbaijan"
1065,2022,9,Canadian Grand Prix,2022-06-19,Circuit Gilles Villeneuve,"Montreal, Canada"
1066,2022,10,British Grand Prix,2022-07-03,Silverstone Circuit,"Silverstone, UK"
1067,2022,11,Austrian Grand Prix,2022-07-10,Red Bull Ring,"Spielberg, Austria"
1068,2022,12,French Grand Prix,2022-07-24,Circuit Paul Ricard,"Le Castellet, France"
1069,2022,13,Hungarian Grand Prix,2022-07-31,Hungaroring,"Budapest, Hungary"
1070,2022,14,Belgian Grand Prix,2022-08-28,Circuit de Spa-Francorchamps,"Spa, Belgium"
1071,2022,15,Dutch Grand Prix,2022-09-04,Circuit Park Zandvoort,"Zandvoort, Netherlands"
1072,2022,16,Italian Grand Prix,2022-09-11,Autodromo Nazionale di Monza,"Monza, Italy"
1073,2022,17,Singapore Grand Prix,2022-10-02,Marina Bay Street Circuit,"Marina Bay, Singapore"
1074,2022,18,Japanese Grand Prix,2022-10-09,Suzuka Circuit,"Suzuka, Japan"
1075,2022,19,United States Grand Prix,2022-10-23,Circuit of the Americas,"Austin, USA"
1076,2022,20,Mexico City Grand Prix,2022-10-30,Autódromo Hermanos Rodríguez,"Mexico City, Mexico"
1077,2022,21,Brazilian Grand Prix,2022-11-13,Autódromo José Carlos Pace,"São Paulo, Brazil"
1078,2022,22,Abu Dhabi Grand Prix,2022-11-20,Yas Marina Circuit,"Abu Dhabi, UAE"
1079,2023,1,Bahrain Grand Prix,2023-03-05,Bahrain International Circuit,"Sakhir, Bahrain"
1080,2023,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah Corniche Circuit,"Jeddah, Saudi Arabia"
1081,2023,3,Australian Grand Prix,2023-04-02,Albert Park Grand Prix Circuit,"Melbourne, Australia"
1082,2023,4,Azerbaijan Grand Prix,2023-04-30,Baku City Circuit,"Baku, Azerbaijan"
1083,2023,5,Miami Grand Prix,2023-05-07,Miami International Autodrome,"Miami, USA"
1084,2023,6,Emilia Romagna Grand Prix,2023-05-21,Autodromo Enzo e Dino Ferrari,"Imola, Italy"
1085,2023,7,Monaco Grand Prix,2023-05-28,Circuit de Monaco,"Monte-Carlo, Monaco"
1086,2023,8,Spanish Grand Prix,2023-06-04,Circuit de Barcelona-Catalunya,"Montmeló, Spain"
1087,2023,9,Canadian Grand Prix,2023-06-18,Circuit Gilles Villeneuve,"Montreal, Canada"
1088,2023,10,Austrian Grand Prix,2023-07-02,Red Bull Ring,"Spielberg, Austria"
1089,2023,11,British Grand Prix,2023-07-09,Silverstone Circuit,"Silverstone, UK"
1090,2023,12,Hungarian Grand Prix,2023-07-23,Hungaroring,"Budapest, Hungary"
1091,2023,13,Belgian Grand Prix,2023-07-30,Circuit de Spa-Francorchamps,"Spa, Belgium"
1092,2023,14,Dutch Grand Prix,2023-08-27,Circuit Park Zandvoort,"Zandvoort, Netherlands"
1093,2023,15,Italian Grand Prix,2023-09-03,Autodromo Nazionale di Monza,"Monza, Italy"
1094,2023,16,Singapore Grand Prix,2023-09-17,Marina Bay Street Circuit,"Marina Bay, Singapore"
1095,2023,17,Japanese Grand Prix,2023-09-24,Suzuka Circuit,"Suzuka, Japan"
1096,2023,18,Qatar Grand Prix,2023-10-08,Losail International Circuit,"Al Daayen, Qatar"
1097,2023,19,United States Grand Prix,2023-10-22,Circuit of the Americas,"Austin, USA"
1098,2023,20,Mexico City Grand Prix,2023-10-29,Autódromo Hermanos Rodríguez,"Mexico City, Mexico"
1099,2023,21,São Paulo Grand Prix,2023-11-05,Autódromo José Carlos Pace,"São Paulo, Brazil"
1100,2023,22,Las Vegas Grand Prix,2023-11-19,Las Vegas Strip Street Circuit,"Las Vegas, United States"
1101,2023,23,Abu Dhabi Grand Prix,2023-11-26,Yas Marina Circuit,"Abu Dhabi, UAE"
